0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:49 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/lokacija/false/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:49 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/lokacija/true/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:02 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:03 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviObjekat/1 HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:03 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:04 +0200] "GET /WebShopREST/rest/komentar/dobaviKomentarePoIdObjekta/1 HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:22 +0200] "GET /WebShopREST/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:25 +0200] "GET /WebShopREST/rest/korisnik/ulogujse/remacar/123 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:25 +0200] "GET /WebShopREST/profile.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:25 +0200] "GET /WebShopREST/rest/korisnik/ucitaj/remacar HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:26 +0200] "GET /WebShopREST/rest/menadzer/objekat/remacar HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:27 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:46 +0200] "GET /WebShopREST/rest/vozilo/dobaviSlobodne/2023-07-25/2023-07-31 HTTP/1.1" 200 13076
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:02 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:02 +0200] "GET /WebShopREST/rest/vozilo/dobaviVozila/1,2,3 HTTP/1.1" 200 927
